;No;Top Label;Label Num;Label;Loss;Time;bird;frog;prediction;confuse_bird_bird;confuse_bird_frog;confuse_frog_bird;confuse_frog_frog
0;120000;others;0;bird;1.430511474609375e-06;11-02-2020 10:21:06;6.795341499999999;-6.792564;bird;1;0;0;0
1;120001;others;1;frog;0.0;11-02-2020 10:21:42;-13.968335;14.210185000000001;frog;0;0;0;1
2;120002;others;1;frog;2.6226043701171875e-06;11-02-2020 10:21:42;6.2454243;-6.229804;bird;0;0;1;0
3;120003;others;0;bird;2.6226043701171875e-06;11-02-2020 10:21:42;6.2454243;-6.229804;bird;1;0;0;0
4;120004;others;1;frog;8.106231689453125e-06;11-02-2020 10:21:42;-5.9458459999999995;5.7681127;frog;0;0;0;1
5;120005;others;1;frog;5.7220458984375e-06;11-02-2020 10:21:42;-5.7206945;5.7084837;frog;0;0;0;1
6;120006;others;1;frog;5.7220458984375e-06;11-02-2020 10:21:42;-5.7206945;5.7084837;frog;0;0;0;1
7;120007;others;0;bird;8.58306884765625e-06;11-02-2020 10:21:42;5.832959;-5.851697;bird;1;0;0;0
8;120008;others;0;bird;0.0;11-02-2020 10:21:42;11.296156;-11.390018;bird;1;0;0;0
9;120009;others;1;frog;2.384185791015625e-07;11-02-2020 10:21:42;7.622310000000001;-7.3808637;bird;0;0;1;0
10;120010;others;0;bird;2.384185791015625e-07;11-02-2020 10:21:42;7.622310000000001;-7.3808637;bird;1;0;0;0
11;120011;others;0;bird;1.430511474609375e-06;11-02-2020 10:21:42;6.745067999999999;-6.5550914;bird;1;0;0;0
12;120012;others;1;frog;0.0;11-02-2020 10:21:42;-10.047618;10.150141;frog;0;0;0;1
13;120013;others;0;bird;1.5894572413799324e-07;11-02-2020 10:21:42;7.828831699999999;-7.832764599999999;bird;1;0;0;0
14;120014;others;1;frog;1.5894572413799324e-07;11-02-2020 10:21:42;7.828831699999999;-7.832764599999999;bird;0;0;1;0
15;120015;others;0;bird;1.5894572413799324e-07;11-02-2020 10:21:42;7.828831699999999;-7.832764599999999;bird;1;0;0;0
16;120016;others;0;bird;7.62939453125e-06;11-02-2020 10:21:42;6.010839;-5.789238;bird;1;0;0;0
17;120017;others;1;frog;1.621246337890625e-05;11-02-2020 10:21:42;5.2139177000000005;-5.125043;bird;0;0;1;0
18;120018;others;0;bird;1.621246337890625e-05;11-02-2020 10:21:42;5.2139177000000005;-5.125043;bird;1;0;0;0
19;120019;others;0;bird;7.700920104980469e-05;11-02-2020 10:21:42;6.405437999999999;-6.305934400000001;bird;1;0;0;0
20;120020;others;0;bird;7.700920104980469e-05;11-02-2020 10:21:42;6.405437999999999;-6.305934400000001;bird;1;0;0;0
21;120021;others;1;frog;0.0002827644348144531;11-02-2020 10:21:42;-4.0007839999999995;4.169176;frog;0;0;0;1
22;120022;others;0;bird;1.9073486328125e-06;11-02-2020 10:21:42;6.697891;-6.401424400000001;bird;1;0;0;0
23;120023;others;1;frog;9.377797141496558e-06;11-02-2020 10:21:42;6.27844;-6.1643214;bird;0;0;1;0
24;120024;others;1;frog;9.377797141496558e-06;11-02-2020 10:21:42;6.27844;-6.1643214;bird;0;0;1;0
25;120025;others;0;bird;9.377797141496558e-06;11-02-2020 10:21:42;6.27844;-6.1643214;bird;1;0;0;0
26;120026;others;0;bird;5.984306335449219e-05;11-02-2020 10:21:42;4.791923000000001;-4.3031926;bird;1;0;0;0
27;120027;others;0;bird;5.984306335449219e-05;11-02-2020 10:21:42;4.791923000000001;-4.3031926;bird;1;0;0;0
28;120028;others;1;frog;0.0;11-02-2020 10:21:42;-8.359841000000001;8.479017;frog;0;0;0;1
29;120029;others;0;bird;8.344650268554688e-06;11-02-2020 10:21:42;-5.4704137;5.5171957;frog;0;1;0;0
30;120030;others;1;frog;8.344650268554688e-06;11-02-2020 10:21:42;-5.4704137;5.5171957;frog;0;0;0;1
31;120031;others;1;frog;9.5367431640625e-07;11-02-2020 10:21:42;-6.714407400000001;6.900177;frog;0;0;0;1
